graph,TP,TN,FP,FN,accuracy,precision,recall,f1,modularity,n_communities
original,314163,342068,30628,59172,0.8796296668637095,0.911169375070695,0.8415042789987545,0.8749523064197647,0.42644303722957494,11
targeted_removal,194153,329230,21124,157013,0.7460699623674307,0.9018752583880303,0.5528809736705718,0.6855164597320472,0.4333333612394093,61
random_removal,292054,324977,25209,59280,0.8795629490249743,0.9205422630435948,0.8312716674161909,0.8736323973933476,0.4235718300599707,14
